F3_t,F3_a,Fz_t,Fz_a,F4_t,F4_a,C3_t,C3_a,Cz_t,Cz_a,C4_t,C4_a,P3_t,P3_a,Pz_t,Pz_a,P4_t,P4_a,F3_P2,Fz_P2,F4_P2,C3_P2,Cz_P2,C4_P2,P3_P2,Pz_P2,P4_P2,F3_N2,Fz_N2,F4_N2,C3_N2,Cz_N2,C4_N2,P3_N2,Pz_N2,P4_N2,label
51475.03965889177,19732.504792345553,74309.15348562886,21641.520110430287,59951.35904977382,23399.432541850387,30806.61930032913,13630.436769840679,50183.20364943869,16776.16016097746,51175.98947200898,18002.44119996628,34265.49087995833,14453.498553829158,52512.51068500891,11513.78916073326,50709.190010853396,14999.01258980769,5.49758911132812,9.92667675018311,7.160763740539549,7.6758923530578596,7.30573177337646,4.3817343711853,11.3702144622803,9.62054443359375,5.19094038009644,-21.7356948852539,-26.537931442260696,-25.1562194824219,-12.2047004699707,-17.2264537811279,-16.9457950592041,-5.83138751983643,-6.805015563964841,-8.80179119110107,1
43464.57942482267,25740.950534679527,41822.42290608063,26810.278161751186,53624.22295293814,26968.847735545743,23984.58229048632,25587.263167778103,25425.74662927719,30555.836097623327,27029.285428587595,24216.193442690772,21788.57698609087,27079.28496676485,22129.077908053725,30672.173007355526,17891.600756514392,24128.477500295354,14.2204399108887,10.1770267486572,6.15209579467773,6.9719161987304705,7.5366907119751,4.82556390762329,9.90134048461914,5.63592100143433,1.93102896213531,-11.4183893203735,-11.3543519973755,-14.051296234130898,-11.1686410903931,-14.248114585876499,-16.0226440429688,-4.4090428352356,-11.2006931304932,-10.5583267211914,1
65270.05081371567,43043.327263735606,70246.31733854892,47519.235667196655,48384.60075627279,45663.21867880193,44171.935177218525,46462.00017601142,58213.49274314081,59568.528747865195,36537.93088815022,53138.77963561362,36253.593274978506,37621.97420114455,50980.60392393824,55615.89982219483,30155.664779352126,47985.26387964897,10.9098539352417,17.1833171844482,14.5740194320679,8.2262020111084,10.8951358795166,1.9710333347320599,6.0781397819519,7.11496067047119,5.61395645141602,-17.3086395263672,-20.7103061676025,-15.4134178161621,-7.88480758666992,-7.46282434463501,-8.32393646240234,-2.9578332901001,-4.05958557128906,-4.3150053024292,0
54239.84906134736,32569.179395654286,66317.03892404184,35045.11292333277,56460.415057594124,34846.46685472335,43637.758476617164,33835.50407108799,54928.94122963438,30470.667959499733,42196.382481815905,23966.1155349008,40561.55947714651,27401.180912037893,44233.880530441216,28132.59481775985,29012.00966827348,28993.28298392676,5.88208627700806,9.21354484558105,7.82617139816284,2.82227110862732,4.34358501434326,6.34783411026001,7.94787931442261,3.7438495159149197,6.85823965072632,-7.015110015869139,-6.98104333877563,-8.74224662780762,-7.65386009216309,-8.41758918762207,-4.69367265701294,-1.72082412242889,-3.04138493537903,-4.69673633575439,0
84800.35933005027,33894.73518049878,155358.9099000847,33147.38178412189,85494.77935429178,27626.42643326932,66187.47040252629,40459.485390288515,76132.8350413762,45957.12931531194,51266.566178985,30402.651330647004,48561.43920648845,43905.37637330742,55616.29955212608,66390.87824134227,28272.232596238024,52133.84532610627,15.5857448577881,17.1962966918945,16.611047744751,8.84403324127197,12.7944631576538,11.2641248703003,10.3114023208618,6.18038415908813,6.26526308059692,-7.881872177124021,-5.81488037109375,-3.27679824829102,-10.8953952789307,-9.89051342010498,-9.33536148071289,-9.04602813720703,-9.30879211425781,-9.497239112854,0
51498.34236319655,41391.8171814764,71980.44930196143,41052.583780575595,73092.91445711703,38374.89757337406,38173.873911855604,33293.10244406522,68833.57365291967,39819.982846330066,55822.499109671706,34555.03526047212,32874.766368849145,30756.88668321834,52678.64651910538,36556.82780548041,43088.083365793376,27140.98582271,11.9257411956787,11.2891616821289,8.65174007415771,12.9711723327637,17.7051219940186,10.7173290252686,16.4980754852295,15.267128944396998,12.0134592056274,-24.5326824188232,-28.3370018005371,-22.0439262390137,-17.9256973266602,-19.5786628723145,-13.2545614242554,-10.2099494934082,-8.79598712921143,-4.12901830673218,0
34553.972177626885,35603.289480836895,50948.665141588266,42461.45645749826,48616.2593268081,40063.42292907685,31079.755856363336,33099.89546422087,48733.16475590576,39388.56899528676,42949.10660663884,32898.206103664466,24261.54130130699,33719.66017691502,37655.00475365895,35597.22481810745,28788.823932917403,29241.797620070356,12.9938640594482,16.962007522583,16.0438098907471,8.78358745574951,17.8865280151367,9.3724422454834,10.51806640625,12.5749464035034,9.32524681091309,-9.62710380554199,-8.41048908233643,-5.12038326263428,-5.64184427261353,-7.805344581604001,-4.79281520843506,-5.49565505981445,-6.21661853790283,-6.59001159667969,1
357176.31121533853,59712.44115605442,328805.0573260509,68096.0994229156,226299.55387452454,59509.81496794009,195657.10229742696,57382.732317472866,202629.97281816718,72832.673548601,132195.13141523354,64542.62935302576,116873.9434860698,68183.77086398313,113557.39708676656,89032.83176634081,89566.43534143451,91690.1591278429,30.676788330078104,28.081804275512702,21.1794319152832,34.6194458007812,21.3415355682373,21.3674774169922,13.658226013183599,17.9154930114746,8.5764331817627,-19.883228302002,-22.6664924621582,-12.4007978439331,-14.2667770385742,-21.3956718444824,-12.9483470916748,-17.4073257446289,-12.698917388916,-10.726676940918,0
47750.06317482991,35369.764410123804,46485.08834192054,32137.314539903404,40402.22606139617,27175.477399275365,49814.85972715985,30004.942739318485,39355.721825768596,27700.604365913823,36590.61555810758,22809.886131941264,32792.490340653465,19662.329801662792,42210.96165597841,18275.64027021478,31234.87044339602,12507.130160011746,9.27228260040283,15.8495788574219,17.5318412780762,7.89725065231323,12.0886917114258,12.910926818847702,8.50351142883301,5.52366256713867,7.1970710754394505,-9.82078647613525,-13.1208610534668,-15.57142162323,-8.72260093688965,-11.9850921630859,-8.90274047851562,-7.17463970184326,-10.2634973526001,-8.36764430999756,0
78328.19088543598,25094.55304585691,105528.31467760233,31975.53815666307,74696.24093247279,32452.154144295135,34198.46628162282,22596.985800862763,47739.07929985881,39405.93652749127,43879.66202115597,30477.961792683825,25292.642969215816,17072.01551001786,38837.968526496974,34750.261174976404,28218.461870041858,25010.805829740075,13.5837163925171,13.607704162597702,18.081787109375,12.1679277420044,13.8966655731201,14.186610221862798,7.350912570953371,8.74716854095459,11.6558027267456,-19.527946472168,-25.3348007202148,-18.922643661499,-2.30809807777405,-7.771751403808591,-3.3953003883361803,-3.96555685997009,-2.37081980705261,-1.6865823268890403,0
65563.61456164996,50127.47208071991,90731.31829090948,54922.00757556251,65901.10674836357,48163.235271001206,41354.163068874856,61338.89975848508,47655.656904203184,69083.50834762206,40387.65967081774,53067.58989196549,28573.504907752365,60940.92869186825,38356.04903100409,64685.50608787876,32422.454551012106,63561.263675022274,11.1856594085693,10.3769016265869,14.85524559021,1.68663144111633,4.61391115188599,5.75695610046387,2.33974123001099,0.346133500337601,3.7732491493225107,-14.021170616149899,-15.659615516662601,-11.89573097229,-13.3537425994873,-12.1839876174927,-8.97500038146973,-4.27940225601196,-5.71422815322876,-4.80474281311035,0
42682.58846758629,27359.86269891446,64699.697969725996,29332.212212984065,62189.04423965256,40362.517112996975,40957.88549179254,23802.261156111508,48415.12312529836,24639.36598844282,39701.75184223023,20512.94669493287,36724.213937360844,32366.058889251522,49729.14167082282,24090.30970787736,38626.46644327978,18703.25063055479,12.3816022872925,15.141654014587399,24.7285614013672,7.81495952606201,17.6722717285156,6.84427070617676,15.278811454772898,15.0304231643677,12.4365329742432,-7.17372274398804,-9.71553802490234,-11.3717498779297,-12.0900840759277,-16.2504901885986,-17.9982757568359,-12.2365818023682,-19.1897354125977,-12.2502202987671,0
69759.66797893972,26407.867818026953,75232.04938827081,23872.051894253687,63173.47713453539,33565.26990912519,54706.01747746487,34306.47802931466,65863.24006820345,28216.001356849934,65075.86717029901,23531.147855896565,32117.198193602315,33363.612187578736,49665.322243703355,22735.06120135084,47453.8469827812,23921.11641085053,21.9911861419678,26.3665218353271,21.8803386688232,16.6006832122803,17.0841426849365,18.2754878997803,14.652770996093802,12.9189672470093,17.1645164489746,-36.9098205566406,-40.1754150390625,-39.8674621582031,-33.5492630004883,-32.5101585388184,-32.7754554748535,-25.4395427703857,-21.0695648193359,-21.7087020874023,0
