F3_t,F3_a,Fz_t,Fz_a,F4_t,F4_a,C3_t,C3_a,Cz_t,Cz_a,C4_t,C4_a,P3_t,P3_a,Pz_t,Pz_a,P4_t,P4_a,F3_P2,Fz_P2,F4_P2,C3_P2,Cz_P2,C4_P2,P3_P2,Pz_P2,P4_P2,F3_N2,Fz_N2,F4_N2,C3_N2,Cz_N2,C4_N2,P3_N2,Pz_N2,P4_N2,label
80745.71665610983,37682.7624360648,72899.82444814841,30395.63886663752,59023.85550225771,31334.598954363864,77865.28246324984,57906.93039362408,132204.47703715466,82789.61615956906,92999.55161747588,51390.66834369026,55175.77129899549,32751.698801824336,73451.96451728343,53368.71765489204,55796.87409008657,38631.16029577941,13.909789085388201,7.89964962005615,6.44361066818237,6.05182456970215,2.84408760070801,9.22747898101807,3.9369475841522203,6.473840713500979,1.2931250333786,-11.9311017990112,-14.8672094345093,-13.3305854797363,-10.0301446914673,-18.9660758972168,-16.0594081878662,-7.722997665405271,-21.0413703918457,-13.164646148681602,0
40300.1127029592,50501.88229790233,57993.46143024338,44746.12185611263,41413.13582339019,32601.308902186945,49589.10258818344,32287.362303956495,117932.23144500081,64317.382665777994,87717.06898619894,65953.60724982788,41089.70562651316,26460.193690347478,63662.817086136536,52598.09293964696,70625.89507648023,73242.9410593647,7.45603466033936,7.31567764282227,5.45632648468018,2.87387895584106,6.60030508041382,6.22675228118896,4.57945871353149,2.71543574333191,2.22066426277161,-28.2521476745605,-18.1441116333008,-13.776498794555698,-22.6663093566895,-20.6191806793213,-22.9133396148682,-13.5800008773804,-11.1893329620361,-11.4351692199707,0
66727.45609294366,29237.456807828406,46307.04777954719,32767.40491098457,38984.722969844974,34055.47114177791,59180.20611919112,34383.42890633395,64685.82605871967,37767.914739207554,44744.299406603015,45156.40882177027,61427.851257840506,18698.759147915833,65052.35374167978,28818.94984681336,42007.47451139293,45972.93348245406,10.4251003265381,4.85221242904663,0.771019995212555,2.73572969436646,2.0340461730957,5.825927734375,6.06883668899536,11.5099382400513,11.7953100204468,-13.57679271698,-18.8427543640137,-15.363149642944302,-19.2505168914795,-21.2914257049561,-20.3538036346436,-23.2780876159668,-33.8213310241699,-24.3414707183838,1
61399.66704165047,38154.81431260621,57344.906350313664,38519.89162333202,54341.84406073509,33105.576104043386,42678.289274904855,32337.30190980291,51897.196824314226,39944.01603000923,61780.812147296936,42693.87606969257,23305.899336166913,25801.18545699918,39412.777413993535,32735.312191726927,45204.40232229084,46371.244583943015,10.5848703384399,11.4757308959961,11.7436618804932,5.36426210403442,6.03030395507812,11.134822845459,7.15224027633667,7.326982975006101,14.7451496124268,-8.52122688293457,-7.51935386657715,-11.8811960220337,-12.1310653686523,-7.04996728897095,-13.8340530395508,-10.6208343505859,-10.2061395645142,-18.9421100616455,0
94480.54694881015,71948.72099170048,66809.63980550626,74814.7984331723,40977.189549719726,54885.60388782216,70141.95433638478,76023.82226079355,62795.0337010751,89439.78641523699,65851.32714066266,64888.67492495973,37942.82841551507,44116.74076917562,46904.01884219803,41076.611939152135,46796.20493865152,63035.90931812965,9.29299545288086,11.6756267547607,10.9982643127441,7.1574172973632795,15.9666509628296,4.20491504669189,4.73090648651123,11.3603239059448,10.2362470626831,-2.70875382423401,-8.50394535064697,-13.201074600219702,-7.32647180557251,-10.6302576065063,-10.8461589813232,-4.82018756866455,-6.09484672546387,-1.21399366855621,0
70088.77856335175,54567.309848728175,66742.57236929031,47206.607380688634,42979.3907945748,34516.5604356772,36314.41194781958,49253.613440989466,52592.6026576638,35735.94084379233,53556.86688109703,40120.24108747056,22709.51648493377,37518.20560780247,30343.23363380565,36172.966489040504,51922.9677486426,38079.67120504489,10.9172916412354,8.03875064849854,7.01040315628052,6.683363914489749,6.31842803955078,6.72913455963135,6.19830417633057,8.38453578948975,3.84867238998413,-10.613338470459,-13.467594146728498,-8.97627830505371,-11.6222677230835,-9.30946159362793,-11.957181930542,-8.70567989349365,-12.578540802002,-1.4378205537796,0
71080.89003424483,51273.69375248139,49542.218023861504,45653.386832206765,43543.72887646133,36506.611782072774,38653.36826577474,44793.1672240542,64612.44384899404,46454.44982033009,56495.55643954357,45576.15498313424,23514.5176943522,30210.505276336302,35543.98634933576,39632.40042454787,64139.98958954151,30831.83879918697,5.05789232254028,11.1608047485352,6.6480565071106,4.51336240768433,4.99341821670532,5.14248418807983,1.51555049419403,2.58810329437256,10.6203804016113,-15.5094938278198,-16.8358364105225,-12.843697547912601,-15.6066265106201,-14.3209085464478,-8.21611022949219,-11.3003234863281,-14.889538764953603,-11.2397356033325,1
66526.02095285352,37524.72667416614,71179.03479655432,39232.73112279339,50966.84111151538,28413.71783443992,57828.4162410746,39908.50195444412,61004.98102059702,26675.691843208057,67432.20552065768,23121.26210796372,34476.2671927385,30141.89557741746,46639.43830880724,22521.53126185977,61888.50411228938,32399.846879592988,11.873646736145,12.4643754959106,13.8384666442871,16.1898803710938,14.5410079956055,17.2061538696289,9.11842632293701,15.313773155212399,15.7037305831909,-21.1652965545654,-26.069862365722702,-23.2074012756348,-35.1573867797852,-28.6874942779541,-10.5762166976929,-19.2894515991211,-9.21721076965332,-12.179838180542,0
50921.4157839875,33781.433027489154,42259.52719303592,30039.848152808197,35127.97315909414,19537.001439338026,43225.17996592469,26817.337961879275,38981.549432810665,36455.07516553626,70359.31200467247,30438.183660497085,32721.469846554002,19063.148416991495,36593.26058911149,23448.845715142936,56934.83474994664,43063.32284449633,12.2282438278198,16.2309989929199,14.07151222229,8.67611503601074,19.6490917205811,12.2788848876953,10.6556024551392,13.3259582519531,26.264787673950202,-4.06164503097534,-3.5287120342254594,-6.00039339065552,-7.87584543228149,-6.93696022033691,-7.990789890289309,-8.97133541107178,-9.20116806030273,-14.1509494781494,0
44512.953052581564,54642.76806358658,40430.21778507421,46740.80760963096,34914.368867181074,36321.037679620844,48392.0078407249,52919.22149840729,71151.73735761747,60801.85691658086,61528.771362536936,29894.469948484446,36350.91956172135,34004.96253740844,53199.13496367714,41797.8898636812,77992.39469965699,40034.097624606555,4.37053394317627,5.34050846099854,3.3788967132568404,8.36323356628418,7.82267570495605,4.22434520721436,7.42628622055054,9.55474090576172,9.01453876495361,-9.00410842895508,-4.94513463973999,-4.0341739654541,-5.87019062042236,-11.346830368042,-2.62623143196106,-3.77516412734985,-14.2383661270142,-8.46842098236084,1
