F3_t,F3_a,Fz_t,Fz_a,F4_t,F4_a,C3_t,C3_a,Cz_t,Cz_a,C4_t,C4_a,P3_t,P3_a,Pz_t,Pz_a,P4_t,P4_a,F3_P2,Fz_P2,F4_P2,C3_P2,Cz_P2,C4_P2,P3_P2,Pz_P2,P4_P2,F3_N2,Fz_N2,F4_N2,C3_N2,Cz_N2,C4_N2,P3_N2,Pz_N2,P4_N2,label
279869.49856773455,37261.43094916256,515690.3334978043,52934.14078366718,213792.31116160247,41288.2255850352,101939.95369224905,15749.050686936558,112640.08643013984,22044.89782953472,100315.27892584696,23230.242444474123,54894.18364720516,15421.823662449098,79365.7071775354,29903.641973257098,58233.24303619173,22065.339230922793,21.0787410736084,16.6797313690186,17.4064292907715,11.472674369812,12.0755062103271,11.8032627105713,7.99503612518311,7.338294506073,7.08358097076416,-12.4395542144775,-9.95597267150879,-14.2397184371948,-10.1411428451538,-4.88388824462891,-5.8017725944519,-11.2320756912231,-13.163714408874501,-4.29189777374268,0
109715.28318032081,38689.5057209609,248784.07521275943,43089.860251385995,126714.54877301684,33893.396758083916,54826.74021598538,26655.433916899274,86507.23660151505,36633.9566969121,76583.88532046719,24135.84333429742,36610.31868060404,28507.44282662985,108512.54518046923,50087.37074535635,53186.216265540716,22876.510916586063,18.3945999145508,11.8422975540161,21.1260890960693,14.784584045410202,15.9782056808472,19.8103446960449,7.32916212081909,15.2552299499512,18.129467010498,-15.6047954559326,-13.168800354003901,-16.2588996887207,-13.483437538146998,-9.84460639953613,-8.13748073577881,-4.4650764465332,-18.1840019226074,-4.67625999450684,0
130421.68243907759,21998.148133589086,199091.93158192365,22549.014871566873,111285.04817245623,20810.151312027923,56850.737574224295,22416.122738270176,66662.93482080377,25071.16547066632,47208.29409112665,18647.243317055625,46068.14913562272,22843.416907622035,47460.599141927516,26972.39713203777,34533.48854437767,18551.279533464123,20.9289131164551,17.615837097168,11.9919576644897,19.7036991119385,17.832202911377,13.705345153808599,12.6760835647583,20.7910614013672,13.3960628509521,-15.571949005127,-15.160279273986799,-7.2587685585022,-8.14051246643066,-7.062962055206301,-0.9307335615158079,-8.86920833587646,-6.95583915710449,-2.5381007194519,0
53916.49611644807,33078.202921550284,47621.59936642516,38171.11451632917,62998.42762663887,33206.836170258444,42611.78016915486,23278.528931563935,44021.41665604827,22575.98194472439,40779.75155340694,21617.10450100441,40057.5968467122,24330.21136140184,44055.96014728818,21038.38249751294,33457.18295088812,16695.061109383092,6.91475963592529,5.30550670623779,4.5263786315918,10.4244146347046,9.37087726593018,6.89105033874512,14.2333841323853,14.644107818603498,9.44485092163086,-14.2469892501831,-12.7378931045532,-9.93278789520264,-10.8995151519775,-8.05832576751709,-7.75509738922119,-4.67302083969116,-5.56899452209473,-7.190602302551271,0
89829.76188421054,43732.87263496511,75464.06551799877,42297.81955539446,70517.53568513182,50019.18578811934,47108.57160616576,27521.090296463164,55279.60800009635,37397.840656774766,37118.99075119447,38200.643441512584,32838.82617765515,24603.327258510682,43684.80234517373,39836.31350858596,38195.50566389019,38019.359154450445,16.0604763031006,13.591295242309602,11.1432228088379,15.966481208801302,16.3227767944336,11.2455606460571,13.5674724578857,11.8908853530884,6.13411903381348,-7.72084712982178,-10.2914934158325,-13.3062524795532,-9.56914043426514,-8.60477828979492,-14.5852527618408,-5.23876571655273,-9.93064880371094,-13.402473449707,0
126786.33855184061,25559.878852438982,281614.1361534679,24746.535216279528,121482.28583864862,24119.84661651852,54064.48638307064,17528.518073812764,66921.33712556613,22300.66342479786,60638.49994841239,23806.09149197107,46328.51645873654,16006.904938919051,50233.39384483063,23383.41342431775,39061.46289813755,19798.202886730618,4.71228837966919,7.8670654296875,3.16088914871216,9.37984943389893,15.396995544433599,10.3830766677856,13.4513883590698,20.3289279937744,14.9174699783325,-6.20291042327881,-7.79172897338867,-7.749898910522459,-2.57358980178833,-8.25258731842041,-7.09669160842896,-8.55721282958984,-10.5494260787964,-4.03341627120972,0
125396.10003923636,40663.784072461465,174045.87211802875,41537.78600073536,114571.01685412468,49322.24635993064,83470.20994405815,31457.11702228452,87355.9512490998,36606.08434684241,66814.74924190731,32363.61799655024,65526.70563514819,46590.276593752686,89188.0396677199,63504.433085117984,65882.12485190264,38556.84446224584,19.8269691467285,22.1295146942139,22.3182525634766,20.2962436676025,23.0851402282715,20.4426231384277,16.5495071411133,23.3968086242676,14.9972362518311,-23.761646270752,-26.109291076660202,-20.6758651733398,-15.4564847946167,-20.9270095825195,-19.095344543457,-12.993516921997102,-21.1444931030273,-19.9910678863525,0
176086.33544085885,53233.99592597485,303039.62563907134,67243.69447972537,156496.0092100095,37821.05739938379,70209.13640267657,64329.381210279564,59078.18724538382,56840.74878971533,49503.316888083486,38950.898314863596,49628.62885030458,71282.50109102571,42240.061557096844,58361.71499269874,33919.66880866863,48005.26363019336,21.6290988922119,23.4822006225586,23.3494110107422,18.8237037658691,25.4090785980225,24.4518146514893,12.7508449554443,21.6590919494629,16.4772357940674,-21.6380195617676,-21.9551429748535,-15.0342483520508,-12.4510059356689,-13.915280342102102,-11.8847436904907,-2.26934146881104,-7.36842489242554,-6.99196243286133,0
83934.22324323715,75083.80708586135,100228.43613863231,69168.07948375515,83343.36455931493,60480.57171200745,91942.87298140925,64492.13161522226,82458.4973845287,67841.48929015761,99117.39617466989,53362.408297038535,54670.54685899939,52370.962410261505,65576.11438437815,60824.2591504228,50380.19463594542,45174.41159874156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79971.76226980245,57264.77383399719,102572.61110214522,63297.57732382283,60704.32565447126,55874.680242358525,37120.9488413376,33975.81487595756,50793.57625688794,35296.34074822175,39971.57834661446,34806.176513951345,29567.605041036506,25256.350031038186,38088.46367720673,26799.27073102429,33978.393523130384,24169.89464090162,21.3595294952393,20.7553386688232,17.4602813720703,16.194465637207,13.106110572814902,13.8893423080444,9.14774990081787,9.84743118286133,7.401937961578371,-22.6576519012451,-26.1974296569824,-22.9744396209717,-13.437905311584498,-11.8381538391113,-9.49591159820557,-11.9854078292847,-9.73909091949463,-6.24746084213257,0
283042.18377940013,81877.14921411067,360626.46073783917,91880.16540322949,273867.3579385386,76364.14207185761,190745.92319442262,69908.84795739924,199652.09893272267,79061.4897478118,171456.33397893485,69417.51998679737,94601.15024262208,49842.491833279986,152237.48807503592,73052.48485017772,131647.65340299008,69172.42556774023,15.0008821487427,18.1093425750732,15.238389968872102,13.9215154647827,20.0670547485352,11.7126379013062,12.1828947067261,16.3354148864746,12.4440002441406,-10.4040184020996,-13.9602031707764,-12.4720048904419,-4.0188570022583,-8.31785678863525,-10.8705968856812,-4.92027282714844,-8.3945255279541,-6.76326274871826,0
65529.63037006199,27562.381222034743,97172.60468189402,27221.944699103577,65521.36842110069,25047.08339866379,34598.74481753293,16938.81406354066,58002.097920908105,19782.554368680838,44151.74609628658,17217.31727501666,29146.196359071375,33761.42818820104,40297.268249855915,30269.018909606253,34944.75623403419,18138.563592633844,9.01184272766113,10.6777105331421,11.4757976531982,2.3863160610199,4.62594509124756,4.59984445571899,5.24723052978516,9.18397808074951,7.626184463500979,-9.95594787597656,-4.91040229797363,-4.8786473274231,-9.18596363067627,-11.0157785415649,-9.62220096588135,-12.8075351715088,-22.0725631713867,-18.8836345672607,0
205731.88592163593,32602.048172044317,353044.08484076365,42169.42826577598,161337.19855961457,41800.47453055903,91217.28838230889,26594.613763117217,106549.98032916742,32172.674064058778,86630.45309136772,25530.139134453602,43649.71783274847,33005.275088421135,55806.68270625637,36610.07332124238,46723.165625755166,32962.35370157869,19.0509166717529,15.94056224823,13.3444137573242,17.6148872375488,14.3916463851929,10.5702676773071,15.9635992050171,17.8846397399902,9.7586727142334,-14.0048723220825,-15.363493919372598,-7.38938570022583,-15.5928173065186,-17.8942165374756,-14.9788026809692,-12.2093505859375,-13.4488573074341,-13.4563570022583,0
63998.63881306343,16580.99903907104,74879.68044811691,23108.150783932437,41060.822985586994,22697.61294292202,55963.99339179174,21116.902664432364,61511.65168512702,22471.522531343595,41605.34493342439,16051.8756637862,52823.08513788296,19979.03024341442,62994.55388911799,19400.213368850054,45966.552506899396,16518.420400152743,15.1741876602173,13.797306060790998,8.99720764160156,14.6057243347168,14.4599914550781,9.37162780761719,11.7259950637817,12.4172210693359,12.9602994918823,-9.59563827514648,-13.646349906921397,-13.012850761413599,-12.0815591812134,-18.8692359924316,-12.5614557266235,-12.810303688049299,-15.2287111282349,-10.1199102401733,1
112327.76526151341,21726.60136877119,178160.4686988007,27059.951044520803,116485.54846330402,29362.83999522536,66195.3867627966,23176.95947980007,72555.79167259413,31418.76749736051,69169.47414286014,27046.77169019598,49745.306969521494,32451.438819818257,69612.97038613682,37783.213586562895,49249.41660407375,23886.377032837318,19.5137519836426,21.3036117553711,17.4801979064941,10.9568405151367,10.2495450973511,10.0595474243164,9.34134769439697,8.67170715332031,6.711674213409421,-6.1305685043335,-8.39154529571533,-9.49102783203125,-3.74341440200806,-6.25668716430664,-10.5307283401489,0.523834049701691,-3.93617677688599,-8.69486427307129,0
