F3_t,F3_a,Fz_t,Fz_a,F4_t,F4_a,C3_t,C3_a,Cz_t,Cz_a,C4_t,C4_a,P3_t,P3_a,Pz_t,Pz_a,P4_t,P4_a,F3_P2,Fz_P2,F4_P2,C3_P2,Cz_P2,C4_P2,P3_P2,Pz_P2,P4_P2,F3_N2,Fz_N2,F4_N2,C3_N2,Cz_N2,C4_N2,P3_N2,Pz_N2,P4_N2,label
81231.26234185859,42699.1391633659,87703.93553786838,53065.43652811599,78698.83151370825,43213.735639789054,43616.835798816515,31267.488198800984,43442.4380751225,30869.36998329479,121297.2503683457,93528.80024413447,31625.38869520644,22479.3013139406,56706.73144371466,42812.30939434924,61004.496101068806,35787.31272558405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85674.79979276052,91645.08687015816,58632.74584289485,78029.59813882157,36690.58129004663,77537.92598741304,52685.476687820985,63160.605050240694,29284.42353975462,59961.75032514031,86209.79984029403,80431.72597720101,39562.10414575624,41148.66686765007,83635.67601240525,93973.59024747615,46574.00740368217,41861.078524252465,15.2279863357544,17.591287612915,5.60373210906982,5.51164579391479,8.23568344116211,12.0544099807739,4.13902902603149,20.9481449127197,8.83685970306396,-4.70162153244019,-8.11863231658936,-12.860075950622598,-7.408497810363771,-9.96930885314941,-10.4002666473389,-8.43306732177734,-13.055740356445302,-9.73764228820801,0
104447.55087800683,110477.46914781941,61426.89076214965,65438.96740265685,53392.30317353092,70407.15011560936,66633.0958806389,78642.64407469668,45598.34972051559,66870.9204083504,145027.82696965509,112498.82934826042,58646.23151703074,47329.41145467613,97308.53482993048,40045.43182631731,44069.429318969385,68032.30307505679,23.1800117492676,18.1350688934326,18.8595199584961,14.575945854187001,15.657876014709498,20.8413105010986,14.357778549194302,26.793821334838903,9.6617546081543,-13.131495475769,-13.935329437255898,-6.83362674713135,-12.0505399703979,-13.096633911132802,-9.76907730102539,-9.55385398864746,-7.01376819610596,-8.08974266052246,1
38000.607444667854,47282.16086391129,58385.51638055303,59400.09307454478,36653.81962525923,35545.33836580915,33178.48301352387,40750.01092175761,26114.06865813634,35660.488714011146,79638.2220438751,31575.506626007747,17931.63805825174,27508.232685407143,80377.75243938103,32928.03921960155,49345.24329593936,28513.954229117575,16.2234172821045,18.7571544647217,20.0850982666016,14.9440803527832,14.369043350219702,14.725739479064902,14.1025199890137,13.9005908966064,14.9310712814331,-12.0102481842041,-11.3564319610596,-10.0741376876831,-6.93104934692383,-5.36605453491211,-17.7054176330566,-4.7104434967041,-5.39520454406738,-14.902652740478498,1
75596.12274126156,265538.4259861792,73713.2138125759,357568.3945803285,65442.57599314864,336136.4323985513,62858.55217110321,150393.55282423826,84205.68978053801,206395.26485674497,138604.18477463277,210864.29514549312,36301.1931278841,144968.4698784497,105770.27817164046,356803.69076662837,63623.701647589376,327965.32455951895,21.7080917358398,12.262487411499,9.87246894836426,11.3778295516968,5.31974315643311,9.65905952453613,7.2005691528320295,9.70825290679932,10.0793132781982,-9.86473655700684,-2.64186096191406,0.353599548339844,-7.7000432014465305,-4.96085691452026,-7.531373023986819,-6.702380180358889,-18.2311000823975,-6.23721885681152,1
18221.057101094884,48812.33167882044,27622.4313764079,65760.68234592256,24119.956800474123,68163.65277726662,22664.2737280592,26510.227355614497,19604.211732699794,38794.06636608805,23748.32834831534,47343.188556629095,17665.125768420672,36181.22158192521,21117.85813119637,37188.035720998676,7659.229541173694,38359.16762785135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50949.837382173035,58686.2819241785,72275.54638877022,90432.84812215818,49444.87796097906,70137.77404153638,33757.85032040927,46214.217702658774,24657.403462619186,57822.8308432689,69757.84178009772,70886.54589004988,17104.13029347049,26376.82862955499,46040.03817639195,48710.806775027115,42712.2687080269,78208.95043828113,15.0733108520508,16.7195472717285,14.5278167724609,15.0037994384766,13.112510681152298,17.7428493499756,10.2640018463135,15.7465991973877,13.3804416656494,-20.0681076049805,-19.831449508667,-19.3725566864014,-19.1404781341553,-19.6877059936523,-11.1756505966187,-19.1518363952637,-12.9116058349609,-12.0329608917236,0
35409.07517591928,39261.04550864417,165054.01958856097,121792.048045777,35120.02767166833,31030.603651438407,18751.989593459813,29269.270739689055,26507.020441925797,30696.92249029715,43864.60952419263,43470.885491936344,14889.552740372537,22971.320662770388,45904.55106980579,37934.56506627578,38640.8345826924,33602.30306173645,12.6609706878662,18.020528793335,6.787524223327639,0.0670995712280273,6.87467432022095,15.008473396301302,0.566980838775635,12.1825084686279,8.94659614562988,-5.4883975982666,-4.05419635772705,-10.8242683410645,-7.1010851860046404,-5.29617500305176,-0.581930160522461,-4.9698748588562,-10.9284610748291,-8.32149028778076,1
60697.30641030892,60724.960348501045,132238.98977563556,98857.9519141509,67518.01361700354,55631.77545878812,39046.419792922665,48288.22916052102,57408.63000905773,44414.9471477906,38438.81633275718,59992.62107546274,30275.229184013515,34260.64408283305,72085.28955969226,35837.07582193543,49947.72571519624,50994.336657558815,8.69484901428223,13.7499122619629,8.58110809326172,8.62040996551514,6.27653026580811,10.2693567276001,9.30183696746826,7.41853284835815,16.3516616821289,-30.391048431396495,-29.6777000427246,-18.6086006164551,-18.7363510131836,-14.000193595886198,-12.853443145752,-13.989499092102102,-11.8873882293701,-17.3073787689209,1
60691.08237526821,22718.616970871964,130581.49776051522,56128.755667215955,53941.47776373477,16666.02697486965,38323.92348314785,27020.270299545697,39709.15890020467,24775.389463386713,57334.711122247274,30650.57502698634,24911.576147641033,22950.33658776794,56438.1988678074,35058.99060510805,50022.01971270624,33512.44435701873,12.7766122817993,16.9927940368652,9.05708408355713,10.6481084823608,16.3059329986572,14.038064956665,8.463303565979,9.83859634399414,17.7722244262695,-10.0612087249756,-10.2770223617554,-12.810704231262202,-9.90683364868164,-9.61312675476074,-9.68084239959717,-5.15414571762085,-16.0283184051514,-2.58852100372314,1
50302.221791046795,30202.27117271029,68880.52271723932,36212.431377321955,25120.48927102985,20649.778469429235,35219.447758629394,28170.382186806502,22872.68950120079,32440.235557898613,44120.30717286267,39971.80408314253,25899.365338610234,36743.30872847744,36666.58295661751,54715.87778066567,38465.50533474829,21943.56558778855,9.2558126449585,12.5587701797485,9.61313438415527,13.643564224243198,16.9451732635498,10.8722763061523,15.803968429565398,4.13127660751343,7.5187292098999,2.13891553878784,-4.31328678131104,-4.12378883361816,0.507322311401367,-0.851765155792236,-3.8979971408844003,-3.12781000137329,-10.08544921875,-10.2748746871948,1
51862.31638609951,31786.225082884655,80716.22405742563,36835.01228821503,45410.55972417358,31052.240478082495,33428.13715927333,26441.68946199269,28449.78755256474,27958.866419694852,29303.38193492411,35075.663722990415,22722.26819833087,16664.940486857435,42781.48848872375,32637.196786872057,29833.023356887836,28425.838737216025,14.0990581512451,7.2483024597167995,5.19819736480713,13.4391107559204,7.10033321380615,8.96237659454346,8.4022274017334,1.9145065546035798,3.02203106880188,-1.8340793848037698,-6.63369131088257,-6.34864664077759,-1.18647491931915,-2.42511081695557,-1.0838942527771,-2.31183004379272,-1.77054631710052,-4.52636289596558,1
51271.185674087355,21448.201087665697,170949.24181091037,136873.90143724508,34975.141718479295,18272.21064375699,34564.278116539725,29351.646057033355,22784.127481323725,24546.956750895308,38372.74524280402,18616.288429206204,17697.741603636532,37578.00372812932,27411.28301910887,34395.26195070214,22617.265595724904,15774.040567581582,9.769362449646,5.35775566101074,7.401547431945799,11.9109697341919,10.2893562316895,6.645792007446291,12.827112197876,12.5840845108032,10.3782815933228,0.158211827278137,-15.0188932418823,3.38105869293213,3.1414008140564,3.25445079803467,0.561887502670288,-0.819929361343384,0.772638261318207,-0.195511698722839,1
60668.573071212355,27651.16705898378,163513.1244773767,126233.56499935534,29354.290572415983,22294.16329678153,27518.139300631246,22828.267294286466,24597.217748786934,27612.05023838084,33841.764036218316,25260.75843573584,20300.464159935735,27801.67195265977,39223.31883638854,47035.496554860314,28657.574116393545,34001.69278762632,0.0763068199157715,10.7777376174927,3.82226228713989,3.61590647697449,4.71327304840088,6.879044055938719,8.13619041442871,16.814208984375,14.8543424606323,-13.9641284942627,-9.05580139160156,-2.88684415817261,-9.28435039520264,-6.37186527252197,-3.60847926139832,-5.6493968963623,-11.6764707565308,-12.8728694915771,1
48876.595803398486,80684.34039770825,92744.10672138362,126501.03166067861,50853.619484887815,93628.93985746552,32463.829764775623,47074.90662592929,43186.608708764616,65579.60300488112,53919.38685470142,58803.866738169076,30151.066068639353,41025.118134324475,58585.344406195145,46057.97635647574,45122.52081842113,51848.803054426135,9.89407062530518,31.788215637206996,11.5002384185791,1.98055052757263,5.9577465057373,6.22165393829346,11.0039081573486,7.57960987091064,11.2340602874756,-17.5705661773682,-17.2578239440918,-12.932391166687001,-9.70988464355469,-7.7414665222167995,-8.4070873260498,-7.520346164703371,-3.35174417495728,-10.0238399505615,0
