F3_t,F3_a,Fz_t,Fz_a,F4_t,F4_a,C3_t,C3_a,Cz_t,Cz_a,C4_t,C4_a,P3_t,P3_a,Pz_t,Pz_a,P4_t,P4_a,F3_P2,Fz_P2,F4_P2,C3_P2,Cz_P2,C4_P2,P3_P2,Pz_P2,P4_P2,F3_N2,Fz_N2,F4_N2,C3_N2,Cz_N2,C4_N2,P3_N2,Pz_N2,P4_N2,label
49528.77305340394,23887.056677847002,53169.999255704024,27495.821839720167,74742.931981033,25788.454290270347,143105.2494509723,71078.0319908254,55032.66138523644,31648.64781704595,48753.137909313504,26506.746619751084,45590.88645074482,34041.979949990404,72898.0819924029,49215.50999943429,35483.070870759955,29338.688061269146,23.441333770752,14.414662361145,20.1490459442139,15.292005538940398,17.0307006835938,16.6934356689453,8.38335418701172,12.4167804718018,15.2324075698853,-8.22763824462891,-6.16068267822266,-14.813878059387202,-2.62089395523071,-5.49699783325195,-5.74678421020508,-1.35123205184937,-5.5523509979248,-1.77299761772156,0
46883.70961644646,40537.193292312026,46013.34976844176,45225.44889351768,65741.40743436477,63677.29791461062,110063.5774070454,80687.59059873316,45774.616490268854,52912.97428146178,32841.73370591886,51891.98225523029,47679.57918886725,43829.30850722701,52161.388160611634,81180.42873104081,24553.12767965659,40044.13763551767,1.42293167114258,2.80198812484741,8.14494514465332,15.348111152648901,-0.282641172409058,1.6159665584564202,-1.04534792900085,7.614114761352541,5.68416213989258,-8.67256927490234,-12.3599548339844,-13.111932754516598,-8.87850379943848,-11.3196849822998,-9.96120738983154,-9.54337501525879,-10.2511177062988,-5.18936824798584,0
37202.64814113469,36655.84017674057,50499.26515641421,38143.94284805201,51669.39764264624,32643.28963627104,63419.73850870848,47381.09650239694,44608.003743705856,34648.08363982322,32007.55900046056,27242.529645719445,46720.419469839566,41943.752676952005,40710.90966629275,54463.36315045469,21693.34980000373,16983.981789057507,10.9974555969238,11.7342081069946,12.5129346847534,17.9946441650391,15.271761894226099,12.3437395095825,9.22030067443848,8.00557613372803,9.46313762664795,-13.205238342285202,-5.61687564849854,-11.2927989959717,-14.4920768737793,-10.0316333770752,-7.93206644058228,-0.8164622783660891,-12.4585418701172,-4.6974630355835,1
57327.72555169363,40859.477222071204,60023.074855303705,37675.11215612838,67285.54716517661,41419.02327155428,93968.48315432749,53064.96436069744,53503.52421307602,41541.41939930753,48140.60956424194,38478.87308558514,47168.914102075556,31284.79336251699,52018.098212993405,53709.09146766894,29604.26721458615,33323.26517054021,10.9552669525146,7.02662992477417,15.0248470306396,17.6561183929443,3.3864691257476798,5.28007173538208,6.684304714202879,5.67038249969482,8.25054931640625,-11.8146343231201,-2.34266138076782,-11.8355178833008,-9.01031875610352,-5.90635013580322,-8.75004386901855,-5.54223155975342,-4.59463119506836,-4.16850185394287,0
44735.61566062802,21096.420116196947,54710.953337231724,25588.948151054323,60876.094568243156,39977.783465035034,74189.95318801382,39900.07510373079,41719.59758883153,41885.97898551339,35979.82206131695,36236.04803047905,55397.755318199605,49131.135067980766,43530.73018501726,52467.33423608574,24529.595063321958,35881.67910094059,9.95688247680664,8.69315528869629,13.6595220565796,10.6805534362793,11.1563959121704,11.5403070449829,7.00266313552856,17.2933750152588,11.8725023269653,-9.77748870849609,-11.0473499298096,-4.15578842163086,-4.72207641601562,-8.79352855682373,-3.08985710144043,-7.1898021697998,-6.17305755615234,-0.740634918212891,1
47420.016343767915,45726.74504823454,77476.81642969727,46912.28689188577,82833.98471702628,50507.745831246175,62823.02748252258,53779.70074811061,37858.131469466156,52421.991894880564,33450.76003553362,35204.64082960622,34649.30841905421,41603.550059973655,41899.028870022754,50776.27483411987,14596.14020860797,31655.13459558493,21.5350475311279,22.9733238220215,17.6796073913574,18.8377494812012,19.8506088256836,16.2743587493896,15.484751701355,10.9187450408936,10.8089771270752,-7.980737686157229,-7.12632989883423,-8.02742385864258,-8.72175121307373,-6.47200202941895,-6.0999059677124,3.2768685817718497,-0.9679156541824339,-1.04412543773651,0
61413.66638434459,38483.84913672652,63085.30403716679,51717.03635421842,95313.3088733243,54684.504891527125,126958.67605180612,74409.54468079274,66593.79278956144,62093.08738189685,58631.46966729038,50536.12291242897,74072.86347591634,32924.75568392891,93675.99220618086,54695.07041478071,40898.39700500567,39407.17146372363,15.263404846191401,12.4036045074463,12.1745681762695,19.7188320159912,15.9805135726929,15.8020277023315,12.398003578186,17.3301734924316,8.11559772491455,-2.34505748748779,2.51134991645813,0.555474996566772,-13.385529518127402,-1.44858407974243,-2.88535666465759,-1.1159930229187,-4.00448989868164,-0.813824415206909,0
79773.52896357403,34188.56436750535,88803.1688001026,34154.08794826528,88605.99673336222,38864.13732186324,105457.06176596705,55216.052600242394,87378.26643969418,44184.749204029096,64054.48662917544,35770.87622488428,73823.94150362535,34473.61026990715,61404.209074308856,58700.73756838412,33572.40380985225,26093.680639303602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47896.924170169536,34129.24229645968,46134.29555495667,41027.01797231099,55249.31699024261,43062.48043712824,65308.95474137243,51802.11664053704,39898.71123297448,43649.849029493824,34731.33043135456,37213.87185839702,42386.04688382491,24895.790491654625,46314.03267710438,33187.045903870574,20581.63911046708,22805.704318111995,7.865836620330809,11.1587400436401,4.98663377761841,8.2215461730957,7.74713802337646,5.73570108413696,11.2551803588867,10.819709777832,6.77388858795166,-3.82068252563477,-4.78458309173584,-5.60230541229248,-6.10884237289429,-1.40670156478882,0.9551074504852292,-7.9577746391296404,-1.9374194145202597,-1.97275972366333,1
76777.79303330992,34019.276668585466,83404.16196391474,33872.28622996337,93658.0048522761,35512.99843928829,98528.47832935024,47426.10506256354,74120.66205194393,39909.0709263158,59506.78737268088,26596.549061566264,55781.70552313222,29472.881751489425,75693.67077755345,50610.61115328338,38258.729016207835,20686.61925257545,7.68773460388184,13.0447187423706,17.9264183044434,13.6324653625488,13.2985858917236,8.09577751159668,16.1228561401367,16.3165893554688,10.0356845855713,-9.61372184753418,-10.0978937149048,-11.4388847351074,-10.2616939544678,-6.38262367248535,-8.8853120803833,-2.62749981880188,-2.79922032356262,-3.5466601848602304,1
